,[Measurement,Info,Unnamed: 2,average_1,average_2,average_3,average_4,average_5,average_6,average_7,average_8,average_9,average_10
286,19:14:42,40.008125,116.477804,-70.49387755102043,-90.90900000000002,-86.45199999999997,-86.71300000000001,-88.11399999999999,-118.095,-120.195,-119.84200000000001,-117.98899999999999,-118.48693877551023
288,19:14:42,40.008125,116.477803,-69.9704081632653,-89.59200000000001,-85.722,-84.76299999999998,-88.11300000000004,-116.59799999999994,-118.642,-118.01599999999996,-118.27300000000001,-119.67470408163267
289,19:14:42,40.008125,116.477803,-70.98571428571428,-85.80000000000004,-89.76199999999999,-87.07300000000001,-89.92300000000002,-118.94500000000002,-120.12699999999997,-119.897,-118.62800000000003,-120.09485714285717
290,19:14:43,40.008125,116.477803,-81.33367346938776,-81.09999999999997,-92.86900000000001,-89.96600000000001,-86.63599999999997,-118.83399999999996,-119.921,-119.77899999999994,-118.40899999999992,-119.27933673469389
291,19:14:43,40.008125,116.477803,-81.43367346938777,-85.54900000000004,-86.84199999999998,-94.24000000000002,-87.43699999999997,-116.14099999999999,-117.95699999999997,-117.82000000000004,-117.42699999999999,-118.9473367346939
292,19:14:43,40.008124,116.477803,-86.01836734693877,-90.28900000000002,-88.14399999999999,-95.66900000000004,-87.61300000000003,-115.444,-119.80200000000002,-120.05099999999995,-118.93699999999998,-118.54018367346941
293,19:14:44,40.008124,116.477803,-83.72755102040817,-90.53000000000002,-86.618,-89.09699999999997,-93.16599999999998,-118.53299999999997,-120.39700000000002,-120.13,-117.62900000000002,-118.6142755102041
294,19:14:44,40.008124,116.477803,-80.40306122448979,-88.73599999999999,-89.27200000000002,-86.45100000000001,-100.44600000000003,-117.847,-119.05199999999996,-119.97799999999995,-118.49800000000003,-116.9770306122449
296,19:14:44,40.008124,116.477803,-81.94591836734693,-89.61199999999997,-87.78300000000002,-95.79599999999999,-92.193,-117.32800000000002,-119.39699999999993,-119.84700000000001,-118.07299999999998,-118.33745918367346
298,19:14:46,40.008124,116.477804,-80.38265306122447,-93.02000000000007,-87.18400000000003,-89.16799999999999,-92.41500000000003,-119.14499999999997,-119.04700000000001,-119.764,-117.38800000000003,-117.15082653061224
299,19:14:46,40.008124,116.477804,-67.54897959183671,-88.90700000000001,-88.86100000000002,-85.59199999999998,-88.816,-115.19200000000001,-118.24199999999995,-118.96199999999999,-118.354,-119.02548979591829
300,19:14:47,40.008124,116.477804,-70.23163265306123,-85.53200000000001,-90.57700000000001,-88.99600000000001,-90.04599999999999,-117.66400000000002,-119.80299999999997,-119.88999999999996,-118.46899999999998,-118.74431632653057
301,19:14:47,40.008123,116.477805,-72.84489795918367,-91.641,-92.94100000000005,-91.75600000000003,-88.336,-118.31200000000003,-119.88199999999999,-119.60899999999997,-118.91099999999994,-119.64144897959184
302,19:14:47,40.008123,116.477805,-70.49591836734695,-88.91400000000002,-85.456,-86.119,-85.15100000000001,-118.225,-119.03999999999996,-118.57199999999997,-117.95099999999998,-117.64395918367345
304,19:14:47,40.008123,116.477805,-68.12857142857145,-84.152,-82.462,-80.69100000000002,-84.37899999999998,-117.32700000000004,-118.486,-118.34700000000001,-116.19300000000001,-114.67728571428569
305,19:14:48,40.008123,116.477805,-69.12857142857142,-84.98400000000001,-85.18800000000002,-82.24400000000003,-87.524,-117.88099999999997,-119.07100000000004,-119.32599999999996,-118.88400000000001,-117.55728571428567
306,19:14:48,40.008123,116.477805,-68.02551020408163,-89.66599999999993,-92.139,-88.75800000000002,-94.516,-116.89800000000002,-118.24200000000002,-118.15700000000002,-116.36899999999997,-118.71125510204084
308,19:14:48,40.008123,116.477805,-78.79285714285712,-88.45800000000004,-92.09500000000001,-89.06400000000002,-86.34199999999998,-117.12700000000002,-118.21299999999998,-119.27900000000001,-118.66100000000006,-118.08192857142858
309,19:14:49,40.008124,116.477804,-65.93367346938777,-99.72300000000003,-95.525,-97.29499999999996,-85.138,-118.01500000000001,-119.22800000000001,-118.03300000000004,-117.54599999999999,-118.04133673469387
310,19:14:49,40.008124,116.477804,-82.06632653061226,-100.29499999999999,-93.75500000000004,-92.598,-86.266,-117.89499999999998,-119.20900000000002,-118.96399999999998,-118.655,-118.73366326530612
311,19:14:49,40.008124,116.477804,-80.10408163265308,-101.132,-100.45599999999996,-92.07,-97.119,-118.05800000000004,-118.97900000000001,-118.89299999999994,-118.49400000000001,-119.84104081632657
312,19:14:50,40.008124,116.477804,-78.5744897959184,-100.181,-101.63699999999999,-91.28800000000001,-95.54299999999999,-118.13000000000002,-119.08600000000003,-118.90899999999999,-117.01499999999996,-118.85274489795917
313,19:14:50,40.008124,116.477804,-77.15204081632653,-95.55299999999997,-97.47199999999997,-106.22999999999998,-93.662,-117.37300000000003,-119.05000000000001,-118.93699999999998,-117.96400000000007,-119.03352040816327
314,19:14:50,40.008124,116.477804,-80.32653061224487,-98.63300000000002,-100.339,-105.24199999999998,-90.63100000000003,-116.46999999999997,-118.27499999999995,-117.65999999999993,-116.59999999999997,-116.70226530612241
316,19:14:50,40.008124,116.477804,-74.93775510204084,-95.522,-84.01800000000001,-88.35900000000001,-87.45900000000002,-116.56899999999996,-118.67599999999999,-118.18500000000003,-117.21800000000005,-117.79937755102044
317,19:14:51,40.008124,116.477804,-76.1795918367347,-91.61400000000003,-88.72699999999999,-81.14399999999999,-91.92200000000001,-114.46599999999998,-118.321,-118.54,-116.54200000000004,-115.57079591836735
318,19:14:51,40.008124,116.477804,-75.91734693877551,-78.16599999999998,-86.46199999999999,-84.14299999999999,-93.866,-116.97000000000006,-118.22100000000005,-118.223,-116.21199999999999,-114.28017346938772
320,19:14:52,40.008124,116.477804,-76.54285714285716,-85.219,-84.61300000000003,-88.03699999999999,-87.63100000000003,-117.15399999999998,-119.08899999999994,-119.46000000000002,-118.67700000000006,-117.3494285714286
322,19:14:53,40.008125,116.477804,-79.77448979591837,-85.43400000000001,-84.57699999999997,-83.93900000000002,-85.02400000000003,-116.43799999999999,-118.52500000000009,-118.76799999999999,-117.197,-116.30874489795914
324,19:14:53,40.008125,116.477804,-71.08673469387753,-90.74599999999998,-86.51800000000001,-91.507,-88.936,-117.95100000000001,-119.30899999999993,-119.49299999999998,-116.228,-117.48486734693871
325,19:14:54,40.008125,116.477804,-72.37142857142855,-87.744,-84.94499999999998,-86.84300000000003,-89.89999999999996,-117.34000000000003,-119.26900000000002,-119.82900000000004,-118.63899999999998,-119.3257142857143
326,19:14:54,40.008125,116.477804,-72.2183673469388,-83.101,-86.27100000000002,-83.34200000000001,-88.29600000000002,-117.21,-119.38799999999999,-119.70199999999997,-117.65499999999999,-118.53018367346944
327,19:14:54,40.008125,116.477804,-79.74999999999999,-80.54900000000002,-84.78499999999994,-86.816,-87.01199999999999,-117.09500000000001,-118.84700000000001,-119.78600000000002,-118.79000000000002,-118.41450000000006
328,19:14:55,40.008125,116.477804,-75.2948979591837,-81.99499999999998,-81.80100000000003,-85.874,-85.24600000000001,-114.789,-116.26099999999997,-119.89399999999996,-118.44700000000003,-117.67694897959183
329,19:14:55,40.008125,116.477804,-73.38775510204084,-85.05799999999998,-85.80899999999995,-86.55199999999999,-89.137,-117.785,-119.33400000000003,-119.89199999999997,-118.82300000000004,-115.20487755102042
330,19:14:55,40.008125,116.477804,-73.2795918367347,-80.95700000000001,-81.50899999999994,-83.97699999999998,-88.63200000000002,-117.44699999999993,-118.42499999999994,-119.68600000000004,-118.93299999999995,-115.91879591836731
332,19:14:55,40.008125,116.477804,-80.76326530612245,-96.78999999999998,-98.87299999999996,-95.95400000000001,-88.29500000000002,-117.471,-118.95200000000003,-119.76599999999995,-118.88000000000002,-118.04263265306125
333,19:14:56,40.008125,116.477804,-79.62857142857146,-98.42499999999997,-101.512,-96.79,-88.27899999999998,-118.729,-119.945,-119.92099999999996,-118.70400000000001,-119.44828571428575
334,19:14:56,40.008125,116.477804,-88.17448979591835,-101.61600000000003,-100.29499999999996,-102.41900000000001,-90.913,-117.322,-119.59099999999995,-119.91899999999994,-118.61799999999995,-118.96874489795916
335,19:14:56,40.008124,116.477804,-79.11020408163266,-100.331,-100.69100000000005,-101.76899999999999,-97.54900000000005,-117.87499999999996,-119.73799999999997,-119.852,-118.56999999999995,-119.64510204081627
336,19:14:57,40.008124,116.477804,-80.21632653061222,-97.47899999999996,-100.86199999999997,-101.223,-97.009,-117.26899999999998,-118.99999999999999,-119.45499999999997,-116.56200000000007,-119.1751632653061
337,19:14:57,40.008124,116.477804,-80.42959183673469,-94.92799999999997,-100.31900000000002,-104.74299999999998,-100.94000000000005,-118.021,-119.29899999999998,-119.47699999999998,-118.51400000000004,-119.6452959183673
